"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","WEEK #29","2020-07-19","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #30","2020-07-26","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2020","WEEK #31","2020-08-02","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #31","2020-08-02","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","WEEK #31","2020-08-02","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2020","WEEK #31","2020-08-02","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","36",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2020","WEEK #33","2020-08-16","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2020","WEEK #34","2020-08-23","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2020","WEEK #34","2020-08-23","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED","TOTAL","NOT SPECIFIED","5",""
