"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","WEEK #09","2020-03-01","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2020","WEEK #10","2020-03-08","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2020","WEEK #11","2020-03-15","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #11","2020-03-15","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #11","2020-03-15","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2020","WEEK #12","2020-03-22","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #12","2020-03-22","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2020","WEEK #12","2020-03-22","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #12","2020-03-22","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","36",""
"SURVEY","2020","WEEK #13","2020-03-29","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","WEEK #13","2020-03-29","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #13","2020-03-29","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","61",""
"SURVEY","2020","WEEK #13","2020-03-29","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2020","WEEK #13","2020-03-29","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","87",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","22",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #14","2020-04-05","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","57",""
"SURVEY","2020","WEEK #15","2020-04-12","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","COLORADO","08","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","CONNECTICUT","09","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","DELAWARE","10","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","73",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MAINE","23","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MARYLAND","24","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","RHODE ISLAND","44","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","50",""
