"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","WEEK #25","2020-06-21","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2020","WEEK #26","2020-06-28","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","WEEK #27","2020-07-05","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2020","WEEK #28","2020-07-12","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2020","WEEK #29","2020-07-19","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","69",""
"SURVEY","2020","WEEK #30","2020-07-26","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","87",""
"SURVEY","2020","WEEK #31","2020-08-02","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2020","WEEK #32","2020-08-09","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2019","WEEK #27","2019-07-07","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2019","WEEK #28","2019-07-14","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2019","WEEK #29","2019-07-21","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2019","WEEK #30","2019-07-28","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","69",""
"SURVEY","2019","WEEK #31","2019-08-04","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","84",""
"SURVEY","2019","WEEK #32","2019-08-11","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2019","WEEK #33","2019-08-18","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2019","WEEK #34","2019-08-25","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2018","WEEK #25","2018-06-24","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #26","2018-07-01","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2018","WEEK #27","2018-07-08","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2018","WEEK #28","2018-07-15","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","68",""
"SURVEY","2018","WEEK #29","2018-07-22","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2018","WEEK #30","2018-07-29","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2018","WEEK #31","2018-08-05","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #25","2017-06-25","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #26","2017-07-02","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #27","2017-07-09","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2017","WEEK #28","2017-07-16","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2017","WEEK #29","2017-07-23","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2017","WEEK #30","2017-07-30","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2017","WEEK #31","2017-08-06","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2017","WEEK #32","2017-08-13","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2016","WEEK #25","2016-06-26","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2016","WEEK #26","2016-07-03","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2016","WEEK #27","2016-07-10","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2016","WEEK #28","2016-07-17","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","67",""
"SURVEY","2016","WEEK #29","2016-07-24","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","87",""
"SURVEY","2016","WEEK #30","2016-07-31","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2016","WEEK #31","2016-08-07","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2015","WEEK #26","2015-06-28","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2015","WEEK #27","2015-07-05","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2015","WEEK #28","2015-07-12","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2015","WEEK #29","2015-07-19","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2015","WEEK #30","2015-07-26","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","83",""
"SURVEY","2015","WEEK #31","2015-08-02","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2015","WEEK #32","2015-08-09","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2014","WEEK #26","2014-06-29","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2014","WEEK #27","2014-07-06","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2014","WEEK #28","2014-07-13","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2014","WEEK #29","2014-07-20","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2014","WEEK #30","2014-07-27","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","85",""
"SURVEY","2014","WEEK #31","2014-08-03","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2014","WEEK #32","2014-08-10","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2014","WEEK #33","2014-08-17","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","99",""
"SURVEY","2013","WEEK #26","2013-06-30","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2013","WEEK #27","2013-07-07","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2013","WEEK #28","2013-07-14","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2013","WEEK #29","2013-07-21","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2013","WEEK #30","2013-07-28","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2013","WEEK #31","2013-08-04","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","72",""
"SURVEY","2013","WEEK #32","2013-08-11","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","85",""
"SURVEY","2013","WEEK #33","2013-08-18","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2012","WEEK #23","2012-06-10","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2012","WEEK #24","2012-06-17","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2012","WEEK #25","2012-06-24","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2012","WEEK #26","2012-07-01","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2012","WEEK #27","2012-07-08","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2012","WEEK #28","2012-07-15","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2012","WEEK #29","2012-07-22","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2012","WEEK #30","2012-07-29","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2012","WEEK #31","2012-08-05","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","99",""
"SURVEY","2011","WEEK #27","2011-07-10","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2011","WEEK #28","2011-07-17","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2011","WEEK #29","2011-07-24","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","75",""
"SURVEY","2011","WEEK #30","2011-07-31","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2011","WEEK #31","2011-08-07","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2011","WEEK #32","2011-08-14","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT SILKING","TOTAL","NOT SPECIFIED","98",""
