,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Unnamed: 0,Unnamed: 0.1,latitude,longitude,soil_latitude,soil_longitude,soil_newsuid,soil_prop,dist_to_soil
0,SURVEY,2019,YEAR,,COUNTY,DE,10,CENTRAL,50,KENT,1.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141.6,,239,8150,39.15,-75.51,39.15416628610311,-75.52916708455,WD30004602,60,0.01961466466803654
1,SURVEY,2016,YEAR,,COUNTY,DE,10,CENTRAL,50,KENT,1.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162.5,,239,8150,39.15,-75.51,39.15416628610311,-75.52916708455,WD30004602,60,0.01961466466803654
2,SURVEY,2015,YEAR,,COUNTY,DE,10,CENTRAL,50,KENT,1.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.0,,239,8150,39.15,-75.51,39.15416628610311,-75.52916708455,WD30004602,60,0.01961466466803654
3,SURVEY,2014,YEAR,,COUNTY,DE,10,CENTRAL,50,KENT,1.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.9,,239,8150,39.15,-75.51,39.15416628610311,-75.52916708455,WD30004602,60,0.01961466466803654
4,SURVEY,2019,YEAR,,COUNTY,DE,10,NORTHERN,20,NEW CASTLE,3.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.1,,238,8096,39.58,-75.68,39.554166284503104,-75.67916708395,WD30004602,60,0.02584713921346911
5,SURVEY,2016,YEAR,,COUNTY,DE,10,NORTHERN,20,NEW CASTLE,3.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.6,,238,8096,39.58,-75.68,39.554166284503104,-75.67916708395,WD30004602,60,0.02584713921346911
6,SURVEY,2015,YEAR,,COUNTY,DE,10,NORTHERN,20,NEW CASTLE,3.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.9,,238,8096,39.58,-75.68,39.554166284503104,-75.67916708395,WD30004602,60,0.02584713921346911
7,SURVEY,2014,YEAR,,COUNTY,DE,10,NORTHERN,20,NEW CASTLE,3.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.1,,238,8096,39.58,-75.68,39.554166284503104,-75.67916708395,WD30004602,60,0.02584713921346911
8,SURVEY,2019,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117.5,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
9,SURVEY,2018,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,108.0,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
10,SURVEY,2017,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.4,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
11,SURVEY,2016,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.2,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
12,SURVEY,2015,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.5,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
13,SURVEY,2014,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.8,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
14,SURVEY,2013,YEAR,,COUNTY,DE,10,SOUTHERN,80,SUSSEX,5.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140.6,,240,8156,38.53,-75.06,38.512499622003105,-75.05416708645001,WD30004602,60,0.018446845543774473
15,SURVEY,2018,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,73.8,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
16,SURVEY,2016,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,54.8,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
17,SURVEY,2013,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,14.1,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
18,SURVEY,2012,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,8.3,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
19,SURVEY,2011,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,53.8,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
20,SURVEY,2010,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,83.4,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
21,SURVEY,2007,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,44.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
22,SURVEY,2006,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,33.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
23,SURVEY,2005,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,26.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
24,SURVEY,2004,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,39.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
25,SURVEY,2003,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,11.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
26,SURVEY,2002,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,15.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
27,SURVEY,2001,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,48.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
28,SURVEY,2000,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,20.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
29,SURVEY,1999,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,56.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
30,SURVEY,1998,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,90.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
31,SURVEY,1997,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,50.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
32,SURVEY,1996,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,78.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
33,SURVEY,1995,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,34.5,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
34,SURVEY,1994,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,56.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
35,SURVEY,1993,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,60.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
36,SURVEY,1992,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,75.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
37,SURVEY,1991,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,CHEYENNE,17.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,43.0,,2821,35534,38.85,-102.17,38.87916628720311,-102.18750031125,WD20004828,60,0.03401372080589487
38,SURVEY,2018,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,84.3,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
39,SURVEY,2017,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,98.2,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
40,SURVEY,2016,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,75.2,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
41,SURVEY,2015,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,68.0,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
42,SURVEY,2014,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,48.3,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
43,SURVEY,2013,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,32.1,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
44,SURVEY,2012,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,12.8,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
45,SURVEY,2011,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,62.0,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
46,SURVEY,2010,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87.9,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
47,SURVEY,2008,YEAR,,COUNTY,CO,8,EAST CENTRAL,60,KIT CARSON,63.0,,,0,,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,39.0,,2823,35536,39.3,-102.42,39.287499618903105,-102.44583364354999,WD20004828,60,0.028699070832274
